anio;mes;presa;altura_m;volumen_m3;variacion_m3;porcentaje_embalsado;altura_maxima_m;volumen_maximo_m3
2026;enero;CHIRA;11.8;460352;152015;0.0816116109053274;32;5640766
2026;febrero;CHIRA;11.82;462404;2052;0.0819753912855098;32;5640766
2026;marzo;CHIRA;24.65;2971555;2509151;0.526799906253867;32;5640766
2026;abril;CHIRA;24.32;2932913;-38642;0.519949418217313;32;5640766
2026;mayo;CHIRA;24.3;2868151;-64762;0.5084683534115757;32;5640766
2026;junio;CHIRA;24.01;2783991;-84160;0.49354839395926015;32;5640766
2026;julio;CHIRA;23.63;2675780;-108211;0.474364651893023;32;5640766
2026;agosto;CHIRA;22.93;2482504;-193276;0.4401005111717097;32;5640766
2026;enero;AYAGAURES;9.25;6497;0;0.003513686721054809;40;1849055
2026;febrero;AYAGAURES;9.32;6837;340;0.0036975644315609866;40;1849055
2026;marzo;AYAGAURES;40;1849055;1842218;1;40;1849055
2026;abril;AYAGAURES;38.67;1687719;-161336;0.9127467814640452;40;1849055
2026;mayo;AYAGAURES;37.65;1568551;-119168;0.8482987255652211;40;1849055
2026;junio;AYAGAURES;36.65;1456887;-111664;0.7879089589006276;40;1849055
2026;julio;AYAGAURES;35.35;1317979;-138908;0.7127851794565332;40;1849055
2026;agosto;AYAGAURES;34.1;1190782;-127197;0.6439949055057854;40;1849055
2026;enero;GAMBUESA;30.81;590141;583644;0.4375605672692438;42;1348707
2026;febrero;GAMBUESA;30.57;577415;-12726;0.4281248632949929;42;1348707
2026;marzo;GAMBUESA;42;1348707;771292;1;42;1348707
2026;abril;GAMBUESA;42;1348707;0;1;42;1348707
2026;mayo;GAMBUESA;42;1348707;0;1;42;1348707
2026;junio;GAMBUESA;41.9;1340842;-7865;0.9941684887822189;42;1348707
2026;julio;GAMBUESA;41.75;1329081;-11761;0.9854482849128833;42;1348707
2026;agosto;GAMBUESA;41.7;1324388;-4693;0.9819686559052485;42;1348707
2026;enero;EL MULATO;25.32;242207;59839;0.31882556585953387;35;759685
2026;febrero;EL MULATO;25.06;233031;-9176;0.3067468753496515;35;759685
2026;marzo;EL MULATO;35;759685;526654;1;35;759685
2026;abril;EL MULATO;34.7;737847;-21838;0.9712538749613326;35;759685
2026;mayo;EL MULATO;34.48;722095;-15752;0.9505189650973759;35;759685
2026;junio;EL MULATO;34.3;709375;-12720;0.9337751831351152;35;759685
2026;julio;EL MULATO;34.09;694731;-14644;0.9144987725175566;35;759685
2026;agosto;EL MULATO;33.8;674850;-19881;0.8883287151911647;35;759685
2026;enero;CANDELARIA;25;396884;238718;1;25;396884
2026;febrero;CANDELARIA;23.35;323081;-73803;0.8140439019965532;25;396884
