tipo;ruta_antigua;url_nueva;seccion;titulo;estado;nota
pagina;/;/;Inicio;Inicio;ok;
pagina;/accesibilidad.php;/accesibilidad/;Accesibilidad;Accesibilidad;ok;
pagina;/agua/desaladoras.php;/agua-en-gran-canaria/desaladoras/;Agua en Gran Canaria;Desaladoras;ok;
pagina;/ayudas.php;/transparencia/ayudas-y-subvenciones/;Transparencia;Ayudas y subvenciones;ok;
pagina;/cartografia.php;/mapas-y-cartografia/;Mapas y cartografía;Mapas y cartografía;ok;
pagina;/cartografia/Catalogo_Cauces/index.html;/agua-en-gran-canaria/inventario-insular-de-cauces/;Agua en Gran Canaria;Inventario insular de cauces;ok;
pagina;/cartografia/CensoInstalaciones/map-censo.html;/agua-en-gran-canaria/instalaciones-hidraulicas-subterraneas/;Agua en Gran Canaria;Instalaciones hidráulicas subterráneas;ok;
pagina;/cartografia/gestion.php;/mapas-y-cartografia/gestion-del-agua/;Mapas y cartografía;Gestión del agua;ok;
pagina;/cartografia/gestion/pluviometria.php;/mapas-y-cartografia/gestion-del-agua/pluviometria/;Mapas y cartografía;Pluviometria;ok;
pagina;/cartografia/gestion/redes.php;/mapas-y-cartografia/gestion-del-agua/redes-de-control/;Mapas y cartografía;Redes de Control;ok;
pagina;/cartografia/infraestructura.php;/mapas-y-cartografia/infraestructuras-hidraulicas/;Mapas y cartografía;Infraestructuras hidráulicas;ok;
pagina;/cartografia/infraestructura/consejo.php;/mapas-y-cartografia/infraestructuras-hidraulicas/infraestructuras-del-consejo/;Mapas y cartografía;Infraestructuras del consejo;ok;
pagina;/cartografia/infraestructura/depuradoras.php;/mapas-y-cartografia/infraestructuras-hidraulicas/depuradoras-y-desaladoras/;Mapas y cartografía;Depuradoras y desaladoras;ok;
pagina;/cartografia/infraestructura/pozos.php;/mapas-y-cartografia/infraestructuras-hidraulicas/pozos/;Mapas y cartografía;Pozos;ok;
pagina;/cartografia/infraestructura/presas.php;/mapas-y-cartografia/infraestructuras-hidraulicas/presas/;Mapas y cartografía;Presas;ok;
pagina;/cartografia/marco.php;/mapas-y-cartografia/marco-administrativo/;Mapas y cartografía;Marco administrativo;ok;
pagina;/cartografia/marco/masas.php;/mapas-y-cartografia/marco-administrativo/masas-de-agua/;Mapas y cartografía;Masas de agua;ok;
pagina;/cartografia/marco/zonificacion.php;/mapas-y-cartografia/marco-administrativo/zonificacion/;Mapas y cartografía;Zonificación;ok;
pagina;/cartografia/medio_fisico.php;/mapas-y-cartografia/medio-fisico/;Mapas y cartografía;Medio físico;ok;
pagina;/cartografia/medio_fisico/barrancos_cuencas.php;/mapas-y-cartografia/medio-fisico/barrancos-y-cuencas/;Mapas y cartografía;Barrancos y Cuencas;ok;
pagina;/cartografia/medio_fisico/cultivos.php;/mapas-y-cartografia/medio-fisico/cultivos/;Mapas y cartografía;Cultivos;ok;
pagina;/cartografia/medio_fisico/permeabilidad.php;/mapas-y-cartografia/medio-fisico/permeabilidad/;Mapas y cartografía;Permeabilidad;ok;
pagina;/cartografia/medio_fisico/relieve.php;/mapas-y-cartografia/medio-fisico/relieve/;Mapas y cartografía;Relieve;ok;
pagina;/cartografia/tematica.php;/mapas-y-cartografia/cartografia-tematica/;Mapas y cartografía;Cartografía temática;ok;
pagina;/cartografia/tematica/consumos.php;/mapas-y-cartografia/cartografia-tematica/consumos-agrarios/;Mapas y cartografía;Consumos Agrarios;ok;
pagina;/cartografia/tematica/precipitaciones.php;/mapas-y-cartografia/cartografia-tematica/precipitaciones/;Mapas y cartografía;Precipitaciones;ok;
pagina;/concurso_hidro.php;/agua-en-gran-canaria/salto-de-chira/;Agua en Gran Canaria;Salto de Chira;ok;
pagina;/consejo.php;/transparencia/institucional/;Transparencia;Institucional;ok;
pagina;/consejos_ahorro.php;/divulgacion/consejos-de-ahorro/;Divulgación;Consejos de ahorro;ok;
pagina;/convenio.php;/transparencia/convenios-y-encomiendas/;Transparencia;Convenios y encomiendas;ok;
pagina;/divulgacion.php;/divulgacion/;Divulgación;Divulgación;ok;
pagina;/divulgacion/articulos_publicaciones.php;/divulgacion/articulos-y-publicaciones/;Divulgación;Artículos y publicaciones;ok;
pagina;/divulgacion/articulos/estudio_cientifico.php;/divulgacion/articulos-y-publicaciones/estudio-cientifico-recursos-de-agua-islas-canarias/;Divulgación;Estudio científico de los recursos de agua en las Islas Canarias SPA/69/515;ok;
pagina;/divulgacion/articulos/estudio_hidrogeologico.php;/divulgacion/articulos-y-publicaciones/estudio-hidrogeologico-del-este-de-gran-canaria/;Divulgación;Estudio hidrogeológico del este de Gran Canaria;ok;
pagina;/divulgacion/ciclo_hidrologico.php;/divulgacion/plan-hidrologico-1988/el-ciclo-hidrologico/;Divulgación;El Ciclo hidrológico;ok;
pagina;/divulgacion/escenario.php;/divulgacion/plan-hidrologico-1988/escenarios-futuros/;Divulgación;Escenarios Futuros;ok;
pagina;/divulgacion/fondos_feder.php;/fondos-europeos/feder/actuaciones-aquamac/;Fondos europeos y subvenciones;Actuaciones FEDER: AQUAMAC y POI Canarias;ok;
pagina;/divulgacion/jornadas.php;/divulgacion/jornadas/;Divulgación;Jornadas;ok;
pagina;/divulgacion/jovenes_agua.php;/divulgacion/jovenes-por-el-agua/;Divulgación;Jóvenes por el Agua;ok;
pagina;/divulgacion/opciones.php;/divulgacion/plan-hidrologico-1988/eleccion-de-opciones/;Divulgación;Elección de Opciones;ok;
pagina;/divulgacion/ordenanzas.php;/divulgacion/plan-hidrologico-1988/las-ordenanzas/;Divulgación;Ordenanzas;ok;
pagina;/divulgacion/principios_directrices.php;/divulgacion/plan-hidrologico-1988/principios-directrices-y-previsiones/;Divulgación;Principios, Directrices y Prevenciones;ok;
pagina;/divulgacion/programa_acutacion.php;/divulgacion/plan-hidrologico-1988/programa-de-actuacion/;Divulgación;Programa de Actuación;ok;
pagina;/divulgacion/punto_partida.php;/divulgacion/plan-hidrologico-1988/el-medio-como-punto-de-partida/;Divulgación;El Medio como Punto de Partida;ok;
pagina;/divulgacion/recu_no/tabla1.html;/divulgacion/plan-hidrologico-1988/recursos-no-naturales/tabla-1-estaciones-depuradoras/;Divulgación;Tabla 1.- Estaciones depuradoras;ok;
pagina;/divulgacion/recu_no/tabla2.html;/divulgacion/plan-hidrologico-1988/recursos-no-naturales/tabla-2-desaladoras-de-agua-de-mar/;Divulgación;Tabla 2.- Desaladoras de agua de mar;ok;
pagina;/divulgacion/recu_no/tabla3.html;/divulgacion/plan-hidrologico-1988/recursos-no-naturales/tabla-3-desaladoras-de-agua-salobre/;Divulgación;Tabla 3.- Desaladoras de agua salobre;ok;
pagina;/divulgacion/recu_super/tabla1.php;/divulgacion/plan-hidrologico-1988/recursos-superficiales/tabla-1-grandes-presas/;Divulgación;Tabla 1.- Grandes presas;ok;
pagina;/divulgacion/recu_super/tabla2.php;/divulgacion/plan-hidrologico-1988/recursos-superficiales/tabla-2-obras-de-almacenamiento/;Divulgación;Tabla 2.- Obras de almacenamiento en Gran Canaria;ok;
pagina;/divulgacion/recursos_no_naturales.php;/divulgacion/plan-hidrologico-1988/recursos-no-naturales/;Divulgación;Recursos no naturales;ok;
pagina;/divulgacion/recursos_subterraneos.php;/divulgacion/plan-hidrologico-1988/recursos-subterraneos/;Divulgación;Recursos Subterráneos;ok;
pagina;/divulgacion/recursos_superficiales.php;/divulgacion/plan-hidrologico-1988/recursos-superficiales/;Divulgación;Recursos Superficiales;ok;
pagina;/divulgacion/riada_tasarte.php;/divulgacion/riada-en-tasarte/;Divulgación;Riada en Tasarte;ok;
pagina;/divulgacion/uso_agua.php;/divulgacion/plan-hidrologico-1988/el-uso-del-agua/;Divulgación;El Uso del Agua;ok;
pagina;/economico.php;/transparencia/economico-financiera/;Transparencia;Económico-financiera;ok;
pagina;/el_consejo.php;/el-consejo/;El Consejo;El Consejo;ok;
pagina;/el_consejo/avisos.php;/aviso-legal/;Aviso legal;Aviso legal;ok;
pagina;/el_consejo/funciones.php;/el-consejo/funciones/;El Consejo;Funciones;ok;
pagina;/el_consejo/introduccion.php;/el-consejo/introduccion/;El Consejo;Introducción;ok;
pagina;/el_consejo/juntas.php;/el-consejo/juntas-y-sesiones/;El Consejo;Juntas y sesiones;ok;
pagina;/el_consejo/organizacion.php;/el-consejo/organizacion/;El Consejo;Organización;ok;
pagina;/el_consejo/organos_gobierno.php;/el-consejo/organos-de-gobierno/;El Consejo;Órganos de Gobierno;ok;
pagina;/el_consejo/ubicacion.php;/el-consejo/ubicacion-y-contacto/;El Consejo;Ubicación y contacto;ok;
pagina;/elecciones.php;/el-consejo/elecciones-de-consejeros/;El Consejo;Elecciones de Consejeros;ok;
pagina;/empleados.php;/transparencia/empleados-publicos/;Transparencia;Empleados públicos;ok;
pagina;/estadistica.php;/transparencia/estadistica/;Transparencia;Estadística;ok;
pagina;/fomento.php;/transparencia/fomento-de-la-transparencia/;Transparencia;Fomento de la transparencia;ok;
pagina;/fondos_feder.php;/fondos-europeos/feder/;Fondos europeos y subvenciones;Fondos FEDER;ok;
pagina;/info_public.php;/actualidad/anuncios/;Actualidad;Anuncios;ok;
pagina;/info.php;/transparencia/periodo-medio-de-pago/;Transparencia;Periodo medio de pago a proveedores;ok;
pagina;/inundaciones.php;/planificacion/riesgo-de-inundacion/;Planificación;Plan de Gestión del Riesgo de Inundación;ok;
pagina;/nextgeneration.php;/fondos-europeos/nextgenerationeu/;Fondos europeos y subvenciones;NextGenerationEU;ok;
pagina;/noticias.php;/actualidad/noticias/;Actualidad;Noticias;ok;
pagina;/obras.php;/transparencia/obras-publicas/;Transparencia;Obras públicas;ok;
pagina;/patrimonio.php;/transparencia/patrimonio/;Transparencia;Patrimonio;ok;
pagina;/perfil_con_2.php;/servicios/contratacion/perfil-del-contratante/;Servicios y trámites;Perfil del contratante;ok;
pagina;/perfil_con.php;/servicios/contratacion/;Servicios y trámites;Contratación;ok;
pagina;/plan_hidro.php;/planificacion/plan-hidrologico/;Planificación;Plan Hidrológico;ok;
pagina;/planhidro/art47/normativa.php;/planificacion/plan-hidrologico/art-47/normativa/;Planificación;Art. 47 · Normativa;ok;
pagina;/planhidro/art47/volumen1.php;/planificacion/plan-hidrologico/art-47/volumen-1/;Planificación;Art. 47 · Volumen I: Documento de información;ok;
pagina;/planhidro/art47/volumen2.php;/planificacion/plan-hidrologico/art-47/volumen-2/;Planificación;Art. 47 · Volumen II: Documento de ordenación;ok;
pagina;/planhidro/directiva/antecedentes_planificacion.php;/planificacion/directiva-marco-del-agua/antecedentes/;Planificación;Antecedentes de planificación;ok;
pagina;/planhidro/directiva/conceptos_basicos.php;/planificacion/directiva-marco-del-agua/conceptos-basicos/;Planificación;Conceptos básicos;ok;
pagina;/planhidro/directiva/enlaces_externos.php;/planificacion/directiva-marco-del-agua/enlaces/;Planificación;Enlaces externos;ok;
pagina;/planhidro/directiva/marco_agua.php;/planificacion/directiva-marco-del-agua/;Planificación;Directiva Marco del Agua;ok;
pagina;/planhidro/directiva/marco_agua/agua_esencial.php;/planificacion/directiva-marco-del-agua/documentos/agua-esencial/;Planificación;El agua es esencial para la vida;ok;
pagina;/planhidro/directiva/marco_agua/calendario_programa_trabajo.php;/planificacion/directiva-marco-del-agua/documentos/calendario-programa-trabajo/;Planificación;Calendario y programa de trabajo Gran Canaria;ok;
