Parámetros;Exactitud Porcentaje en el VP (nota 1);Precisión Porcentaje en el VP (nota 2);Límite de detección Porcentaje del VP (nota 3);Condiciones;Notas
Acrilamida;;;;Controlar según la especificación del producto.;
Aluminio;10;10;10;;
Amonio;10;10;10;;
Antimonio;25;25;25;;
Arsénico;10;10;10;;
Benceno;25;25;25;;
Benzo(a)pireno;25;25;25;;
Boro;10;10;10;;
Bromato;25;25;25;;
Cadmio;10;10;10;;
Cianuro;10;10;10;;4
Cloruro;10;10;10;;
Cloruro de vinilo;;;;Controlar según la especificación del producto.;
Cobre;10;10;10;;
Conductividad;10;10;10;;
Cromo;10;10;10;;
1,2-dicloroetano;25;25;10;;
Epiclorhidrina;;;;Controlar según la especificación del producto.;
Fluoruro;10;10;10;;
Hierro;10;10;10;;
HPA;25;25;25;;5 y 9
Manganeso;10;10;10;;
Mercurio;20;10;20;;
Níquel;10;10;10;;
Nitrato;10;10;10;;
Nitrito;10;10;10;;
Oxidabilidad;25;25;10;;6
Plaguicidas;25;25;25;;7 y 9
Plomo;10;10;10;;
Selenio;10;10;10;;
Sodio;10;10;10;;
Sulfato;10;10;10;;
Tetracloroeteno;25;25;10;;8
THMs;25;25;10;;5
Tricloroeteno;25;25;10;;8
Turbidez;25;25;25;;
