columna_1;columna_2;columna_3;columna_4
36.14;Fabricación de otros muebles;6;1
36.15;Fabricación de colchones;7;1
36.21;Fabricación de monedas y medallas;7;1
36.22;Fabricación de artículos de joyería, orfebrería y platería;7;1
36.30;Fabricación de instrumentos musicales;7;1
36.40;Fabricación de artículos de deporte;7;1
36.50;Fabricación de juegos y juguetes;7;1
36.61;Fabricación de bisutería;7;1
36.62;Fabricación de escobas, brochas y cepillos;7;1
36.63;Fabricación de otros artículos;7;1
37.10;Reciclaje de chatarra y deshechos de metal;2;1
37.20;Reciclaje de deshechos no metálicos;10;2
40.10;Producción y distribución de energía eléctrica;1;1
40.20;"Producción de gas; distribución de combustibles gaseosos por conductos urbanos, excepto gasoductos";1;1
40.30;Producción y distribución de vapor y agua caliente;1;1
41.00;Captación, depuración y distribución de agua;1;1
50.20;Mantenimiento y reparación de vehículos de motor;0;1
50.50;Venta al por menor de carburantes para la automoción;0;1
73.10;Investigación y desarrollo sobre ciencias naturales y técnicas;0;1
74.30;Ensayos y análisis técnicos;0;1
74.81;Actividades de fotografía;9;2
85.11;Actividades hospitalarias;0;1
93.01;Lacado, limpieza y teñido de prendas textiles y de piel;15;3
93.03;Pompas fúnebres y actividades relacionadas con ellas;0;1
