Parámetro;Tipo S;Tipo C;Observaciones
1. Temperatura (ºC);1. La temperatura media aguas abajo de un vertido térmico (en el límite de la zona de mezcla no deberá superar la temperatura natural en más de :;;Se podrán decidir excepciones limitadas geográficamente en condiciones particulares si la autoridad competente pudiera probar que dichas excepciones no tendrán consecuencias perjudiciales para el desarrollo equilibrado de las poblaciones de peces.
;1,5ºC;3ºC;
;2. El vertido térmico no deberá tener como consecuencia que la temperatura en la zona situada aguas abajo del punto de vertido térmico (en el límite de la zona de mezcla) supere los valores siguientes:;;
;"21,5 (0)
10 (0)";"28 (0)
10 (0)";
;El límite de la temperatura de 10ºC no se aplicará sino a los periodos de reproducción de las especies que tienen necesidad de agua fría para su reproducción y exclusivamente a las aguas que puedan contener dichas especies.;;
;Los límites de las temperaturas podrán, sin embargo, ser superados durante el 2 por 100 del tiempo.;;
2. Oxigeno disuelto (mg/l O2);50% ³ 9;50% ³ 7;
;Cuando el contenido de oxigeno descienda por debajo de;;
;6;4;
;La autoridad competente deberá probar que esta situación no tendrá consecuencias perjudiciales para el desarrollo equilibrado de las poblaciones de peces.;;
3. pH;6-9 (0) (1);6-9 (0) (1);
4. Materias en suspensión;(£ 25) (0);(£ 25) (0);
5. D.B.O. (mg/l O2);(£ 3);(£ 6);
6. Fósforo total (mg/l P);(0,2);(0,4);"En lo referente a los lagos cuya profundidad media se situa entre 18 y 200 metros, se podría aplicar la siguiente fórmula:
L £ 10 (Z/Tw)·[1+(Tw)1/2]
en donde:
L = La carga expresada en mg P por metro cuadrado de superficie del lago durante un año.
Z = La profundidad media, expresada en metros.
Tw = El tiempo teórico de renovación del agua del lago, expresado en años.
En los demás casos, los valores límites de 0,2 mg/l para las aguas salmonícolas y de 0,4 mg/l para las ciprinícolas, expresados en PO4=, podrán ser considerados como valores indicativos que permiten reducir la eutrofización."
7. Nitritos (mg/l NO2);(£ 0,01);(£ 0,03);
8. Compuestos fenólicos (mg/l C6H5OH);(2);(2);
9. Hidrocarburos de origen petrolero;(3);(3);
10. Amoniaco no ionizado (mg/l NH3);£ 0,025;£ 0,025;Los valores de amoniaco no ionizado podrán ser superados a condición de que se trate de puntas poco importantes que aparezcan durante el día
11. Amonio total (mg/l NH4);£ 1 (4);£ 1 (4);
12. Cloro residual total (mg/l HOCl);£ 0,005;£ 0,005;Estos valores corresponden a una pH 6. Podrán aceptarse valores mayores si el pH fuese superior.
13. Cinc total (mg/l Zn);£ 0,3;£ 1,0;Los valores corresponden a una dureza del agua de 100 mg/l de CaCO3. para durezas comprendidas entre 10 y 500 mg/l, los valores límites correspondientes se pueden encontrar en la tabla II.
14. Cobre soluble (mg/l Cu);(£ 0,04);(£ 0,04);Los valores corresponden a una dureza del agua de 100 mg/l de CaCO3. para durezas comprendidas entre 10 y 300 mg/l, los valores límites correspondientes se pueden encontrar en la tabla III.
