Parámetros;Valor
1. pH;7-9
2. Temperatura ºC;La diferencia de temperatura provocada por un vertido no deberá, en las aguas para cría de moluscos afectadas por dicho vertido, superar en más de 2ºC a la temperatura medida en las aguas no afectadas.
3. Coloración (después de filtración mg Pt/l);Después de filtración, el color del agua provocado por un vertido no deberá, en las aguas afectadas por dicho vertido, acusar una diferencia de más de 10 mg Pt/l con el color medido en las aguas no afectadas.
4. Materias en suspensión mg/l;El aumento del contenido de materias en suspensión provocado por un vertido no deberá, en las aguas para cría de moluscos, afectadas por dicho vertido, ser superior en más de un 30 por 100 al que se halla medido en las aguas no afectadas.
5. Salinidad %;"- £ 40 por 100.
- La variación de la salinidad provocada por un vertido, en las aguas para cría de moluscos afectadas por dicho vertido, no deberá ser superior en más de un 10 por 100 a la salinidad medida en las aguas no afectadas."
6. Oxigeno disuelto (% Saturación);"- ³ 70 por 100 (valor medio).
- Si una medición individual indicará un valor inferior al 70 por 100, las mediciones se repetirán.
- Una medición individual no podrá indicar un valor inferior al 60 por 100 salvo cuando no haya consecuencias perjudiciales para el desarrollo de las poblaciones de moluscos."
7. Hidrocarburos de origen petrolero;"Los hidrocarburos no deberán hallarse en el agua para cría de moluscos en concentraciones tales que:
- Produzcan en la superficie del agua una película visible y/o un depósito sobre los moluscos.
- Provoquen efectos nocivos sobre los moluscos."
8. Sustancias organohalogenadas;La concentración de cada sustancia en el agua para cría de moluscos o en la carne de los moluscos no deberá rebasar un nivel que provoque efectos nocivos en dichos moluscos y sus larvas.
9. Metales: Plata, Ag. Arsénico As. Cadmio, Cd. Cromo, Cr. Cobre, Cu. Mercurio, Hg. Niquel, Ni. Plomo, Pb. Cinc, Zn. mg/l.;"La concentración de cada sustancia en el agua para la cría de moluscos o en la carne de moluscos no deberá rebasar un nivel que provoque efectos nocivos en dichos moluscos y en sus larvas.
Los efectos de sinergia de estos metales deberán ser tomados en consideración."
10. Coliformes fecales/100 ml;£ 300 en la carne de los moluscos y en el liquido interlarvar (1).
11. Sustancias que influyen en el sabor de los moluscos;Concentración inferior a la que pueda deteriorar el sabor de los moluscos.
